legacy_row_id,legacy_profession,legacy_secondary_profession,legacy_tier,legacy_rarity,legacy_name,legacy_category,legacy_craft_type,legacy_description,legacy_use,legacy_output_qty,legacy_base_price_gp,legacy_vendor_price_gp,legacy_sale_price_gp,legacy_component_1,legacy_component_1_qty,legacy_component_1_source,legacy_component_2,legacy_component_2_qty,legacy_component_2_source,legacy_component_3,legacy_component_3_qty,legacy_component_3_source,legacy_components_json
11,Blacksmithing,,2,Uncommon,Brooch of shielding,Armor/Shield,shield,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Primal Shard (T2),1,Mining,Deepvein Ore (T2),1,Mining,Dragon Gland (T2),1,Hunting,"[{""name"":""Primal Shard (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Deepvein Ore (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Dragon Gland (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
12,Blacksmithing,,2,Uncommon,Enspelled Armour (Level 1),Armor/Shield,shield,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Mythic Alloy (T2),1,Mining,Deepvein Ore (T2),1,Mining,Dragon Gland (T2),1,Hunting,"[{""name"":""Mythic Alloy (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Deepvein Ore (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Dragon Gland (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
13,Blacksmithing,,2,Uncommon,Mariner's Armor,Armor/Shield,shield,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Deepvein Ore (T2),1,Mining,Deepvein Ore (T2),1,Mining,Dragon Gland (T2),1,Hunting,"[{""name"":""Deepvein Ore (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Deepvein Ore (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Dragon Gland (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
14,Blacksmithing,,2,Uncommon,Mariner’s armor,Armor/Shield,shield,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Emberstone Chunk (T2),1,Mining,Deepvein Ore (T2),1,Mining,Dragon Gland (T2),1,Hunting,"[{""name"":""Emberstone Chunk (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Deepvein Ore (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Dragon Gland (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
15,Blacksmithing,,2,Uncommon,Mithral Armor,Armor/Shield,shield,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Frostsalt Crystal (T2),1,Mining,Deepvein Ore (T2),1,Mining,Dragon Gland (T2),1,Hunting,"[{""name"":""Frostsalt Crystal (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Deepvein Ore (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Dragon Gland (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
16,Blacksmithing,,2,Uncommon,Ring of mind shielding,Armor/Shield,shield,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Starcut Gem (T2),1,Mining,Deepvein Ore (T2),1,Mining,Dragon Gland (T2),1,Hunting,"[{""name"":""Starcut Gem (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Deepvein Ore (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Dragon Gland (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
17,Blacksmithing,,2,Uncommon,Sentinel Shield,Armor/Shield,shield,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Emberstone Chunk (T2),1,Mining,Deepvein Ore (T2),1,Mining,Chimera Horn (T2),1,Hunting,"[{""name"":""Emberstone Chunk (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Deepvein Ore (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Chimera Horn (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
18,Blacksmithing,,2,Uncommon,Shield (+1),Armor/Shield,shield,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Emberstone Chunk (T2),1,Mining,Deepvein Ore (T2),1,Mining,Wild Heart (T2),1,Hunting,"[{""name"":""Emberstone Chunk (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Deepvein Ore (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Wild Heart (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
19,Blacksmithing,,2,Uncommon,"Shield, +1",Armor/Shield,shield,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Emberstone Chunk (T2),1,Mining,Deepvein Ore (T2),1,Mining,Feathered Wing (T2),1,Hunting,"[{""name"":""Emberstone Chunk (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Deepvein Ore (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Feathered Wing (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
20,Blacksmithing,,2,Uncommon,Adamantine Weapon,Weapon,weapon,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Mythic Alloy (T2),1,Mining,Forge Flux (T2),1,Mining,Wild Heart (T2),1,Hunting,"[{""name"":""Mythic Alloy (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Forge Flux (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Wild Heart (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
21,Blacksmithing,,2,Uncommon,"Ammunition, +1",Weapon,weapon,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Deepvein Ore (T2),1,Mining,Forge Flux (T2),1,Mining,Wild Heart (T2),1,Hunting,"[{""name"":""Deepvein Ore (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Forge Flux (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Wild Heart (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
22,Blacksmithing,,2,Uncommon,Enspelled Weapon (Level 1),Weapon,weapon,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Emberstone Chunk (T2),1,Mining,Forge Flux (T2),1,Mining,Wild Heart (T2),1,Hunting,"[{""name"":""Emberstone Chunk (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Forge Flux (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Wild Heart (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
23,Blacksmithing,,2,Uncommon,Javelin of Lightning,Weapon,weapon,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Starcut Gem (T2),1,Mining,Forge Flux (T2),1,Mining,Wild Heart (T2),1,Hunting,"[{""name"":""Starcut Gem (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Forge Flux (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Wild Heart (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
24,Blacksmithing,,2,Uncommon,Sword of vengeance,Weapon,weapon,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Frostsalt Crystal (T2),1,Mining,Forge Flux (T2),1,Mining,Wild Heart (T2),1,Hunting,"[{""name"":""Frostsalt Crystal (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Forge Flux (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Wild Heart (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
25,Blacksmithing,,2,Uncommon,Trident of Fish Command,Weapon,weapon,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Forge Flux (T2),1,Mining,Forge Flux (T2),1,Mining,Wild Heart (T2),1,Hunting,"[{""name"":""Forge Flux (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Forge Flux (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Wild Heart (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
26,Blacksmithing,,2,Uncommon,Weapon (+1),Weapon,weapon,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Primal Shard (T2),1,Mining,Forge Flux (T2),1,Mining,Wild Heart (T2),1,Hunting,"[{""name"":""Primal Shard (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Forge Flux (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Wild Heart (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
27,Blacksmithing,,2,Uncommon,Weapon of Warning,Weapon,weapon,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Primal Shard (T2),1,Mining,Forge Flux (T2),1,Mining,Feathered Wing (T2),1,Hunting,"[{""name"":""Primal Shard (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Forge Flux (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Feathered Wing (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
28,Blacksmithing,,2,Uncommon,"Weapon, +1",Weapon,weapon,Crafted item (Uncommon).,Crafting output for Blacksmithing.,1,200,200,100,Primal Shard (T2),1,Mining,Forge Flux (T2),1,Mining,Dragon Gland (T2),1,Hunting,"[{""name"":""Primal Shard (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Forge Flux (T2)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Dragon Gland (T2)"",""qty"":1,""gathering_profession"":""Hunting""}]"
29,Blacksmithing,,3,Rare,Ammunition(10) (+2),Ammunition,smith_misc,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Mythic Alloy (T3),1,Mining,Starcut Gem (T3),1,Mining,Keen Eye (T3),1,Hunting,"[{""name"":""Mythic Alloy (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Starcut Gem (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Keen Eye (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
30,Blacksmithing,,3,Rare,Armor of resistance,Armor/Shield,shield,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Forge Flux (T3),1,Mining,Primal Shard (T3),1,Mining,Feathered Wing (T3),1,Hunting,"[{""name"":""Forge Flux (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Feathered Wing (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
31,Blacksmithing,,3,Rare,Armor of vulnerability,Armor/Shield,shield,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Starcut Gem (T3),1,Mining,Primal Shard (T3),1,Mining,Feathered Wing (T3),1,Hunting,"[{""name"":""Starcut Gem (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Feathered Wing (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
32,Blacksmithing,,3,Rare,"Armor, +1",Armor/Shield,shield,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Mythic Alloy (T3),1,Mining,Primal Shard (T3),1,Mining,Feathered Wing (T3),1,Hunting,"[{""name"":""Mythic Alloy (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Feathered Wing (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
33,Blacksmithing,,3,Rare,Armour (+1),Armor/Shield,shield,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Deepvein Ore (T3),1,Mining,Primal Shard (T3),1,Mining,Feathered Wing (T3),1,Hunting,"[{""name"":""Deepvein Ore (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Feathered Wing (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
34,Blacksmithing,,3,Rare,Armour of Resistance,Armor/Shield,shield,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Emberstone Chunk (T3),1,Mining,Primal Shard (T3),1,Mining,Feathered Wing (T3),1,Hunting,"[{""name"":""Emberstone Chunk (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Feathered Wing (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
35,Blacksmithing,,3,Rare,Arrow-catching shield,Armor/Shield,shield,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Frostsalt Crystal (T3),1,Mining,Primal Shard (T3),1,Mining,Feathered Wing (T3),1,Hunting,"[{""name"":""Frostsalt Crystal (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Feathered Wing (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
36,Blacksmithing,,3,Rare,Enspelled Armour (Level 2),Armor/Shield,shield,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Primal Shard (T3),1,Mining,Primal Shard (T3),1,Mining,Feathered Wing (T3),1,Hunting,"[{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Feathered Wing (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
37,Blacksmithing,,3,Rare,Shield of missile attraction,Armor/Shield,shield,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Mythic Alloy (T3),1,Mining,Primal Shard (T3),1,Mining,Keen Eye (T3),1,Hunting,"[{""name"":""Mythic Alloy (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Keen Eye (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
38,Blacksmithing,,3,Rare,"Shield, +2",Armor/Shield,shield,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Mythic Alloy (T3),1,Mining,Primal Shard (T3),1,Mining,Wild Heart (T3),1,Hunting,"[{""name"":""Mythic Alloy (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Wild Heart (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
39,Blacksmithing,,3,Rare,Berserker axe,Weapon,weapon,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Starcut Gem (T3),1,Mining,Primal Shard (T3),1,Mining,Feathered Wing (T3),1,Hunting,"[{""name"":""Starcut Gem (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Feathered Wing (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
40,Blacksmithing,,3,Rare,Bowl of Commanding Water Elementals,Weapon,weapon,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Deepvein Ore (T3),1,Mining,Primal Shard (T3),1,Mining,Feathered Wing (T3),1,Hunting,"[{""name"":""Deepvein Ore (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Feathered Wing (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
41,Blacksmithing,,3,Rare,Dagger of Venom,Weapon,weapon,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Mythic Alloy (T3),1,Mining,Primal Shard (T3),1,Mining,Feathered Wing (T3),1,Hunting,"[{""name"":""Mythic Alloy (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Feathered Wing (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
42,Blacksmithing,,3,Rare,Dragon Slayer,Weapon,weapon,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Emberstone Chunk (T3),1,Mining,Primal Shard (T3),1,Mining,Feathered Wing (T3),1,Hunting,"[{""name"":""Emberstone Chunk (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Feathered Wing (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
43,Blacksmithing,,3,Rare,Enspelled Weapon (Level 3),Weapon,weapon,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Forge Flux (T3),1,Mining,Primal Shard (T3),1,Mining,Feathered Wing (T3),1,Hunting,"[{""name"":""Forge Flux (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Feathered Wing (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
44,Blacksmithing,,3,Rare,Flame Tongue,Weapon,weapon,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Frostsalt Crystal (T3),1,Mining,Primal Shard (T3),1,Mining,Feathered Wing (T3),1,Hunting,"[{""name"":""Frostsalt Crystal (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Feathered Wing (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
45,Blacksmithing,,3,Rare,Giant Slayer,Weapon,weapon,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Primal Shard (T3),1,Mining,Primal Shard (T3),1,Mining,Feathered Wing (T3),1,Hunting,"[{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Feathered Wing (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
46,Blacksmithing,,3,Rare,Mace of Terror,Weapon,weapon,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Mythic Alloy (T3),1,Mining,Primal Shard (T3),1,Mining,Keen Eye (T3),1,Hunting,"[{""name"":""Mythic Alloy (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Keen Eye (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
47,Blacksmithing,,3,Rare,Sun Blade,Weapon,weapon,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Mythic Alloy (T3),1,Mining,Primal Shard (T3),1,Mining,Razor Fang (T3),1,Hunting,"[{""name"":""Mythic Alloy (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Razor Fang (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
48,Blacksmithing,,3,Rare,Sword of Wounding,Weapon,weapon,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Mythic Alloy (T3),1,Mining,Primal Shard (T3),1,Mining,Wild Heart (T3),1,Hunting,"[{""name"":""Mythic Alloy (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Wild Heart (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
49,Blacksmithing,,3,Rare,Weapon (+2),Weapon,weapon,Crafted item (Rare).,Crafting output for Blacksmithing.,1,1500,1500,750,Mythic Alloy (T3),1,Mining,Primal Shard (T3),1,Mining,Chimera Horn (T3),1,Hunting,"[{""name"":""Mythic Alloy (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Primal Shard (T3)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Chimera Horn (T3)"",""qty"":1,""gathering_profession"":""Hunting""}]"
50,Blacksmithing,,4,Rare,Arrow-Catching Shield,Ammunition,shield,Crafted item (Rare).,Crafting output for Blacksmithing.,1,3750,3750,1875,Deepvein Ore (T4),1,Mining,Emberstone Chunk (T4),1,Mining,Sturdy Hide (T4),1,Hunting,"[{""name"":""Deepvein Ore (T4)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Emberstone Chunk (T4)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Sturdy Hide (T4)"",""qty"":1,""gathering_profession"":""Hunting""}]"
51,Blacksmithing,,4,Very Rare,Dwarven Plate,Armor/Shield,shield,Crafted item (Very Rare).,Crafting output for Blacksmithing.,1,7500,7500,3750,Emberstone Chunk (T4),1,Mining,Emberstone Chunk (T4),1,Mining,Sturdy Hide (T4),1,Hunting,"[{""name"":""Emberstone Chunk (T4)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Emberstone Chunk (T4)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Sturdy Hide (T4)"",""qty"":1,""gathering_profession"":""Hunting""}]"
52,Blacksmithing,,4,Rare,Elven chain,Armor/Shield,shield,Crafted item (Rare).,Crafting output for Blacksmithing.,1,3750,3750,1875,Frostsalt Crystal (T4),1,Mining,Emberstone Chunk (T4),1,Mining,Sturdy Hide (T4),1,Hunting,"[{""name"":""Frostsalt Crystal (T4)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Emberstone Chunk (T4)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Sturdy Hide (T4)"",""qty"":1,""gathering_profession"":""Hunting""}]"
53,Blacksmithing,,4,Rare,Enspelled Armour (Level 3),Armor/Shield,shield,Crafted item (Rare).,Crafting output for Blacksmithing.,1,3750,3750,1875,Forge Flux (T4),1,Mining,Emberstone Chunk (T4),1,Mining,Sturdy Hide (T4),1,Hunting,"[{""name"":""Forge Flux (T4)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Emberstone Chunk (T4)"",""qty"":1,""gathering_profession"":""Mining""},{""name"":""Sturdy Hide (T4)"",""qty"":1,""gathering_profession"":""Hunting""}]"
